case_id,param_i,param_j,correlation
52,film_thickness_um,film_thickness_um,1.0
52,film_thickness_um,film_plasma_freq_thz,0.6406594306046949
52,film_thickness_um,film_gamma_thz,-0.5521592020316757
52,film_plasma_freq_thz,film_thickness_um,0.6406594306046949
52,film_plasma_freq_thz,film_plasma_freq_thz,1.0
52,film_plasma_freq_thz,film_gamma_thz,-0.013769083869534836
52,film_gamma_thz,film_thickness_um,-0.5521592020316757
52,film_gamma_thz,film_plasma_freq_thz,-0.013769083869534836
52,film_gamma_thz,film_gamma_thz,1.0
53,film_thickness_um,film_thickness_um,1.0
53,film_thickness_um,film_plasma_freq_thz,0.7027084369524514
